"variable","iso2","reference","cramer"
"hk_prevalence","CF","asc_prevalence",
"hk_prevalence","CF","tt_prevalence",
"hk_prevalence","CF","coordinates",
"asc_prevalence","CF","year",
"asc_prevalence","CF","longitude",
"asc_prevalence","CF","latitude",
"asc_prevalence","CF","hk_prevalence",
"asc_prevalence","CF","asc_prevalence",
"asc_prevalence","CF","tt_prevalence",
"asc_prevalence","CF","coordinates",
"tt_prevalence","CF","year",
"tt_prevalence","CF","longitude",
"tt_prevalence","CF","latitude",
"tt_prevalence","CF","hk_prevalence",
"tt_prevalence","CF","asc_prevalence",
"tt_prevalence","CF","tt_prevalence",
"tt_prevalence","CF","coordinates",
"coordinates","CF","year",
"coordinates","CF","longitude",
"coordinates","CF","latitude",
"coordinates","CF","hk_prevalence",
"coordinates","CF","asc_prevalence",
"coordinates","CF","tt_prevalence",
"coordinates","CF","coordinates",
"year","CG","year",
"year","CG","longitude",
"year","CG","latitude",
"year","CG","hk_prevalence",
"year","CG","asc_prevalence",
"year","CG","tt_prevalence",
"year","CG","coordinates",
"longitude","CG","year",
"longitude","CG","longitude",
"longitude","CG","latitude",
"longitude","CG","hk_prevalence",
"longitude","CG","asc_prevalence",
"longitude","CG","tt_prevalence",
"longitude","CG","coordinates",
"latitude","CG","year",
"latitude","CG","longitude",
"latitude","CG","latitude",
"latitude","CG","hk_prevalence",
"latitude","CG","asc_prevalence",
"latitude","CG","tt_prevalence",
"latitude","CG","coordinates",
"hk_prevalence","CG","year",
"hk_prevalence","CG","longitude",
"hk_prevalence","CG","latitude",
"hk_prevalence","CG","hk_prevalence",
"hk_prevalence","CG","asc_prevalence",
"hk_prevalence","CG","tt_prevalence",
"hk_prevalence","CG","coordinates",
"asc_prevalence","CG","year",
"asc_prevalence","CG","longitude",
"asc_prevalence","CG","latitude",
"asc_prevalence","CG","hk_prevalence",
"asc_prevalence","CG","asc_prevalence",
"asc_prevalence","CG","tt_prevalence",
"asc_prevalence","CG","coordinates",
"tt_prevalence","CG","year",
"tt_prevalence","CG","longitude",
"tt_prevalence","CG","latitude",
"tt_prevalence","CG","hk_prevalence",
"tt_prevalence","CG","asc_prevalence",
"tt_prevalence","CG","tt_prevalence",
"tt_prevalence","CG","coordinates",
"coordinates","CG","year",
"coordinates","CG","longitude",
"coordinates","CG","latitude",
"coordinates","CG","hk_prevalence",
"coordinates","CG","asc_prevalence",
"coordinates","CG","tt_prevalence",
"coordinates","CG","coordinates",
"year","CI","year",1
"year","CI","longitude",0.02485
"year","CI","latitude",0.02609
"year","CI","hk_prevalence",0.4063
"year","CI","asc_prevalence",0
"year","CI","tt_prevalence",0.3512
"year","CI","coordinates",0.02609
"longitude","CI","year",0.02485
"longitude","CI","longitude",1
"longitude","CI","latitude",0.9783
"longitude","CI","hk_prevalence",0.03633
"longitude","CI","asc_prevalence",0.03633
"longitude","CI","tt_prevalence",0
"longitude","CI","coordinates",0.9783
"latitude","CI","year",0.02609
"latitude","CI","longitude",0.9783
"latitude","CI","latitude",1
"latitude","CI","hk_prevalence",0.03761
"latitude","CI","asc_prevalence",0.03761
"latitude","CI","tt_prevalence",0
"latitude","CI","coordinates",1
"hk_prevalence","CI","year",0.4063
"hk_prevalence","CI","longitude",0.03633
"hk_prevalence","CI","latitude",0.03761
"hk_prevalence","CI","hk_prevalence",1
"hk_prevalence","CI","asc_prevalence",0.6656
"hk_prevalence","CI","tt_prevalence",0.2855
"hk_prevalence","CI","coordinates",0.03761
"asc_prevalence","CI","year",0
"asc_prevalence","CI","longitude",0.03633
"asc_prevalence","CI","latitude",0.03761
"asc_prevalence","CI","hk_prevalence",0.6656
"asc_prevalence","CI","asc_prevalence",1
"asc_prevalence","CI","tt_prevalence",0.2855
"asc_prevalence","CI","coordinates",0.03761
"tt_prevalence","CI","year",0.3512
"tt_prevalence","CI","longitude",0
"tt_prevalence","CI","latitude",0
"tt_prevalence","CI","hk_prevalence",0.2855
"tt_prevalence","CI","asc_prevalence",0.2855
"tt_prevalence","CI","tt_prevalence",1
"tt_prevalence","CI","coordinates",0
"coordinates","CI","year",0.02609
"coordinates","CI","longitude",0.9783
"coordinates","CI","latitude",1
"coordinates","CI","hk_prevalence",0.03761
"coordinates","CI","asc_prevalence",0.03761
"coordinates","CI","tt_prevalence",0
"coordinates","CI","coordinates",1
"year","CM","year",1
"year","CM","longitude",0.1951
"year","CM","latitude",0.03179
"year","CM","hk_prevalence",0.07323
"year","CM","asc_prevalence",0.1053
"year","CM","tt_prevalence",0.112
"year","CM","coordinates",0.03179
"longitude","CM","year",0.1951
"longitude","CM","longitude",1
"longitude","CM","latitude",0.3789
"longitude","CM","hk_prevalence",0
"longitude","CM","asc_prevalence",0
"longitude","CM","tt_prevalence",0
"longitude","CM","coordinates",0.3789
"latitude","CM","year",0.03179
"latitude","CM","longitude",0.3789
"latitude","CM","latitude",1
"latitude","CM","hk_prevalence",0.04476
"latitude","CM","asc_prevalence",0.07076
"latitude","CM","tt_prevalence",0.07593
"latitude","CM","coordinates",1
"hk_prevalence","CM","year",0.07323
"hk_prevalence","CM","longitude",0
"hk_prevalence","CM","latitude",0.04476
"hk_prevalence","CM","hk_prevalence",1
"hk_prevalence","CM","asc_prevalence",0
"hk_prevalence","CM","tt_prevalence",0
"hk_prevalence","CM","coordinates",0.04476
"asc_prevalence","CM","year",0.1053
"asc_prevalence","CM","longitude",0
"asc_prevalence","CM","latitude",0.07076
"asc_prevalence","CM","hk_prevalence",0
"asc_prevalence","CM","asc_prevalence",1
"asc_prevalence","CM","tt_prevalence",0.9478
"asc_prevalence","CM","coordinates",0.07076
"tt_prevalence","CM","year",0.112
"tt_prevalence","CM","longitude",0
"tt_prevalence","CM","latitude",0.07593
"tt_prevalence","CM","hk_prevalence",0
"tt_prevalence","CM","asc_prevalence",0.9478
"tt_prevalence","CM","tt_prevalence",1
"tt_prevalence","CM","coordinates",0.07593
"coordinates","CM","year",0.03179
"coordinates","CM","longitude",0.3789
"coordinates","CM","latitude",1
"coordinates","CM","hk_prevalence",0.04476
"coordinates","CM","asc_prevalence",0.07076
"coordinates","CM","tt_prevalence",0.07593
"coordinates","CM","coordinates",1
"year","CV","year",
"year","CV","longitude",
"year","CV","latitude",
"year","CV","hk_prevalence",
"year","CV","asc_prevalence",
"year","CV","tt_prevalence",
"year","CV","coordinates",
"longitude","CV","year",
"longitude","CV","longitude",
"longitude","CV","latitude",
"longitude","CV","hk_prevalence",
"longitude","CV","asc_prevalence",
"longitude","CV","tt_prevalence",
"longitude","CV","coordinates",
"latitude","CV","year",
"latitude","CV","longitude",
"latitude","CV","latitude",
"latitude","CV","hk_prevalence",
"latitude","CV","asc_prevalence",
"latitude","CV","tt_prevalence",
"latitude","CV","coordinates",
"hk_prevalence","CV","year",
"hk_prevalence","CV","longitude",
"hk_prevalence","CV","latitude",
"hk_prevalence","CV","hk_prevalence",1
"hk_prevalence","CV","asc_prevalence",1
"hk_prevalence","CV","tt_prevalence",1
"hk_prevalence","CV","coordinates",
"asc_prevalence","CV","year",
"asc_prevalence","CV","longitude",
"asc_prevalence","CV","latitude",
"asc_prevalence","CV","hk_prevalence",1
"asc_prevalence","CV","asc_prevalence",1
"asc_prevalence","CV","tt_prevalence",1
"asc_prevalence","CV","coordinates",
